redis_redis-replica_1;0.0;6.457;0.08
redis_redis-master_1;0.21;6.387;0.08
redis_redis-replica_1;0.0;6.457;0.08
redis_redis-master_1;0.21;6.387;0.08
redis_redis-replica_1;0.29;6.453;0.08
redis_redis-master_1;0.24;6.387;0.08
redis_redis-replica_1;0.29;6.453;0.08
redis_redis-master_1;0.24;6.387;0.08
redis_redis-replica_1;0.32;6.453;0.08
redis_redis-master_1;0.22;6.387;0.08
redis_redis-replica_1;0.32;6.453;0.08
redis_redis-master_1;0.22;6.387;0.08
redis_redis-replica_1;0.31;6.453;0.08
redis_redis-master_1;0.2;6.387;0.08
redis_redis-replica_1;0.31;6.453;0.08
redis_redis-master_1;0.2;6.387;0.08
redis_redis-replica_1;0.31;6.457;0.08
redis_redis-master_1;0.27;6.387;0.08
redis_redis-replica_1;0.31;6.457;0.08
redis_redis-master_1;0.27;6.387;0.08
redis_redis-replica_1;0.32;6.582;0.08
redis_redis-master_1;0.28;6.387;0.08
redis_redis-replica_1;0.32;6.582;0.08
redis_redis-master_1;0.28;6.387;0.08
redis_redis-replica_1;0.3;6.457;0.08
redis_redis-master_1;0.27;6.387;0.08
redis_redis-replica_1;0.3;6.457;0.08
redis_redis-master_1;0.27;6.387;0.08
redis_redis-replica_1;0.24;6.457;0.08
redis_redis-master_1;0.24;6.387;0.08
redis_redis-replica_1;0.24;6.457;0.08
redis_redis-master_1;0.24;6.387;0.08
redis_redis-replica_1;0.29;6.457;0.08
redis_redis-master_1;0.29;6.395;0.08
redis_redis-replica_1;0.29;6.457;0.08
redis_redis-master_1;0.29;6.395;0.08
redis_redis-replica_1;0.34;6.453;0.08
redis_redis-master_1;0.22;6.379;0.08
redis_redis-replica_1;0.34;6.453;0.08
redis_redis-master_1;0.22;6.379;0.08
redis_redis-replica_1;0.33;6.453;0.08
redis_redis-master_1;0.31;6.379;0.08
redis_redis-replica_1;0.33;6.453;0.08
redis_redis-master_1;0.31;6.379;0.08
redis_redis-replica_1;0.35;6.449;0.08
redis_redis-master_1;0.32;6.504;0.08
redis_redis-replica_1;0.35;6.449;0.08
redis_redis-master_1;0.32;6.504;0.08
redis_redis-replica_1;0.35;6.449;0.08
redis_redis-master_1;0.23;6.379;0.08
redis_redis-replica_1;0.35;6.449;0.08
redis_redis-master_1;0.23;6.379;0.08
redis_redis-replica_1;0.35;6.457;0.08
redis_redis-master_1;0.22;6.379;0.08
redis_redis-replica_1;0.35;6.457;0.08
redis_redis-master_1;0.22;6.379;0.08
redis_redis-replica_1;0.36;6.449;0.08
redis_redis-master_1;0.22;6.379;0.08
redis_redis-replica_1;0.36;6.449;0.08
redis_redis-master_1;0.22;6.379;0.08
redis_redis-replica_1;0.38;6.449;0.08
redis_redis-master_1;0.22;6.379;0.08
redis_redis-replica_1;0.38;6.449;0.08
redis_redis-master_1;0.22;6.379;0.08
redis_redis-replica_1;0.31;6.453;0.08
redis_redis-master_1;0.28;6.379;0.08
redis_redis-replica_1;0.31;6.453;0.08
redis_redis-master_1;0.28;6.379;0.08
redis_redis-replica_1;0.36;6.574;0.08
redis_redis-master_1;0.34;6.504;0.08
redis_redis-replica_1;0.36;6.574;0.08
redis_redis-master_1;0.34;6.504;0.08
redis_redis-replica_1;0.29;6.453;0.08
redis_redis-master_1;0.31;6.379;0.08
redis_redis-replica_1;0.29;6.453;0.08
redis_redis-master_1;0.31;6.379;0.08
redis_redis-replica_1;0.25;6.449;0.08
redis_redis-master_1;3.91;7.562;0.1
redis_redis-replica_1;0.25;6.449;0.08
redis_redis-master_1;3.91;7.562;0.1
redis_redis-replica_1;3.94;7.555;0.1
redis_redis-master_1;1.18;6.379;0.08
redis_redis-replica_1;3.94;7.555;0.1
redis_redis-master_1;1.18;6.379;0.08
redis_redis-replica_1;2.94;6.453;0.08
redis_redis-master_1;0.29;6.379;0.08
redis_redis-replica_1;2.94;6.453;0.08
redis_redis-master_1;0.29;6.379;0.08
redis_redis-replica_1;0.34;6.453;0.08
redis_redis-master_1;0.29;6.379;0.08
redis_redis-replica_1;0.34;6.453;0.08
redis_redis-master_1;0.29;6.379;0.08
redis_redis-replica_1;10.28;6.59;0.08
redis_redis-master_1;24.11;6.508;0.08
redis_redis-replica_1;10.28;6.59;0.08
redis_redis-master_1;24.11;6.508;0.08
redis_redis-replica_1;10.28;6.59;0.08
redis_redis-master_1;24.11;6.508;0.08
redis_redis-replica_1;2.55;6.59;0.08
redis_redis-master_1;4.39;6.445;0.08
redis_redis-replica_1;2.55;6.59;0.08
redis_redis-master_1;4.39;6.445;0.08
redis_redis-replica_1;0.32;6.59;0.08
redis_redis-master_1;0.28;6.445;0.08
redis_redis-replica_1;0.32;6.59;0.08
redis_redis-master_1;0.28;6.445;0.08
redis_redis-replica_1;0.32;6.59;0.08
redis_redis-master_1;0.27;6.445;0.08
redis_redis-replica_1;0.32;6.59;0.08
redis_redis-master_1;0.27;6.445;0.08
redis_redis-replica_1;0.35;6.59;0.08
redis_redis-master_1;0.31;6.441;0.08
redis_redis-replica_1;0.35;6.59;0.08
redis_redis-master_1;0.31;6.441;0.08
redis_redis-replica_1;0.32;6.59;0.08
redis_redis-master_1;0.29;6.445;0.08
redis_redis-replica_1;0.32;6.59;0.08
redis_redis-master_1;0.29;6.445;0.08
redis_redis-replica_1;0.33;6.59;0.08
redis_redis-master_1;0.31;6.57;0.08
redis_redis-replica_1;0.33;6.59;0.08
redis_redis-master_1;0.31;6.57;0.08
redis_redis-replica_1;0.37;6.715;0.09
redis_redis-master_1;0.3;6.445;0.08
redis_redis-replica_1;0.37;6.715;0.09
redis_redis-master_1;0.3;6.445;0.08
redis_redis-replica_1;0.36;6.59;0.08
redis_redis-master_1;0.27;6.445;0.08
redis_redis-replica_1;0.36;6.59;0.08
redis_redis-master_1;0.27;6.445;0.08
redis_redis-replica_1;0.34;6.59;0.08
redis_redis-master_1;0.31;6.445;0.08
redis_redis-replica_1;0.34;6.59;0.08
redis_redis-master_1;0.31;6.445;0.08
redis_redis-replica_1;0.37;6.562;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.37;6.562;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.32;6.562;0.08
redis_redis-master_1;0.33;6.414;0.08
redis_redis-replica_1;0.32;6.562;0.08
redis_redis-master_1;0.33;6.414;0.08
redis_redis-replica_1;0.34;6.562;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.34;6.562;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.35;6.562;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.35;6.562;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.37;6.562;0.08
redis_redis-master_1;0.3;6.41;0.08
redis_redis-replica_1;0.37;6.562;0.08
redis_redis-master_1;0.3;6.41;0.08
redis_redis-replica_1;0.33;6.562;0.08
redis_redis-master_1;0.29;6.414;0.08
redis_redis-replica_1;0.33;6.562;0.08
redis_redis-master_1;0.29;6.414;0.08
redis_redis-replica_1;0.37;6.562;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.37;6.562;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.33;6.562;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.33;6.562;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.35;6.562;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.35;6.562;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.35;6.562;0.08
redis_redis-master_1;0.28;6.414;0.08
redis_redis-replica_1;0.35;6.562;0.08
redis_redis-master_1;0.28;6.414;0.08
redis_redis-replica_1;0.35;6.562;0.08
redis_redis-master_1;0.28;6.414;0.08
redis_redis-replica_1;0.4;6.523;0.08
redis_redis-master_1;0.36;6.414;0.08
redis_redis-replica_1;0.4;6.523;0.08
redis_redis-master_1;0.36;6.414;0.08
redis_redis-replica_1;0.38;6.523;0.08
redis_redis-master_1;0.3;6.414;0.08
redis_redis-replica_1;0.38;6.523;0.08
redis_redis-master_1;0.3;6.414;0.08
redis_redis-replica_1;0.34;6.523;0.08
redis_redis-master_1;0.42;6.414;0.08
redis_redis-replica_1;0.34;6.523;0.08
redis_redis-master_1;0.42;6.414;0.08
redis_redis-replica_1;0.35;6.523;0.08
redis_redis-master_1;0.27;6.414;0.08
redis_redis-replica_1;0.35;6.523;0.08
redis_redis-master_1;0.27;6.414;0.08
redis_redis-replica_1;0.39;6.527;0.08
redis_redis-master_1;0.3;6.41;0.08
redis_redis-replica_1;0.39;6.527;0.08
redis_redis-master_1;0.3;6.41;0.08
redis_redis-replica_1;0.35;6.523;0.08
redis_redis-master_1;0.27;6.414;0.08
redis_redis-replica_1;0.35;6.523;0.08
redis_redis-master_1;0.27;6.414;0.08
redis_redis-replica_1;0.3;6.523;0.08
redis_redis-master_1;0.29;6.414;0.08
redis_redis-replica_1;0.3;6.523;0.08
redis_redis-master_1;0.29;6.414;0.08
redis_redis-replica_1;0.28;6.523;0.08
redis_redis-master_1;0.33;6.414;0.08
redis_redis-replica_1;0.28;6.523;0.08
redis_redis-master_1;0.33;6.414;0.08
redis_redis-replica_1;3.69;6.543;0.08
redis_redis-master_1;10.9;6.43;0.08
redis_redis-replica_1;3.69;6.543;0.08
redis_redis-master_1;10.9;6.43;0.08
redis_redis-replica_1;3.29;6.5;0.08
redis_redis-master_1;11.18;6.41;0.08
redis_redis-replica_1;3.29;6.5;0.08
redis_redis-master_1;11.18;6.41;0.08
redis_redis-replica_1;0.4;6.5;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.4;6.5;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.38;6.5;0.08
redis_redis-master_1;0.36;6.414;0.08
redis_redis-replica_1;0.38;6.5;0.08
redis_redis-master_1;0.36;6.414;0.08
redis_redis-replica_1;0.33;6.5;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.33;6.5;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.3;6.5;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.3;6.5;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.31;6.5;0.08
redis_redis-master_1;0.34;6.414;0.08
redis_redis-replica_1;0.31;6.5;0.08
redis_redis-master_1;0.34;6.414;0.08
redis_redis-replica_1;0.39;6.5;0.08
redis_redis-master_1;0.3;6.414;0.08
redis_redis-replica_1;0.39;6.5;0.08
redis_redis-master_1;0.3;6.414;0.08
redis_redis-replica_1;0.56;6.5;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.56;6.5;0.08
redis_redis-master_1;0.31;6.414;0.08
redis_redis-replica_1;0.32;6.5;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.32;6.5;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.28;6.5;0.08
redis_redis-master_1;0.32;6.414;0.08
redis_redis-replica_1;0.28;6.5;0.08
redis_redis-master_1;0.31;6.406;0.08
redis_redis-replica_1;0.28;6.5;0.08
redis_redis-master_1;0.31;6.406;0.08
redis_redis-replica_1;0.37;6.5;0.08
